Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Latitude,Longitude
Ban Kamphoun,"ID 440101 <br> NAME Ban Kamphoun <br> PROVINCE Stung Treng <br> BASIN Se San <br> BDP_SA SA 7C <br> MOWRAM_REG Region 4 <br> BASINGROUP Basin Group 2 <br> AVAIL_FROM 01-Dec-93 <br> TO 31-Dec-10 <br> X_COORD 613231 <br> Y_COORD 1496438 <br> ZERO_GH_M 39.93 <br> CAT_A_KM2 48,200",,,,,"-1","0","-1",,,106.046,13.534
Veun Sai,"ID 440102 <br> NAME Veun Sai <br> PROVINCE Ratanak Kiri <br> BASIN Se San <br> BDP_SA SA 7C <br> MOWRAM_REG Region 4 <br> BASINGROUP Basin Group 2 <br> AVAIL_FROM 01-Jan-00 <br> TO 31-Dec-17 <br> X_COORD 695963 <br> Y_COORD 1544895 <br> ZERO_GH_M - <br> CAT_A_KM2 16,300",,,,,"-1","0","-1",,,106.814,13.968
Lumphat,"ID 450101 <br> NAME Lumphat <br> PROVINCE Rattanakiri <br> BASIN Sre Pok <br> BDP_SA SA 7C <br> MOWRAM_REG Region 4 <br> BASINGROUP Basin Group 2 <br> AVAIL_FROM 01-Jan-00 <br> TO 31-Dec-17 <br> X_COORD 713844 <br> Y_COORD 1492931 <br> ZERO_GH_M - <br> CAT_A_KM2 25,600",,,,,"-1","0","-1",,,106.976,13.497
Mongkol Borey,"ID 520101 <br> NAME Mongkol Borey <br> PROVINCE Banteay Meanchey <br> BASIN Stung Mongkol Borey <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-04 <br> X_COORD 282470 <br> Y_COORD 1495824 <br> ZERO_GH_M 8.23 <br> CAT_A_KM2 4,170",,,,,"-1","0","-1",,,102.990,13.523
Sisophon,"ID 530101 <br> NAME Sisophon <br> PROVINCE Banteay Meanchey <br> BASIN Stung Sisophon <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 283002 <br> Y_COORD 1503248 <br> ZERO_GH_M 2.96 <br> CAT_A_KM2 4,310",,,,,"-1","0","-1",,,102.994,13.590
Kralanh,"ID 540101 <br> NAME Kralanh <br> PROVINCE Siem Reap <br> BASIN Stung Sreng <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 327338 <br> Y_COORD 1503271 <br> ZERO_GH_M 4.77 <br> CAT_A_KM2 8,175",,,,,"-1","0","-1",,,103.404,13.593
Battambang,"ID 550102 <br> NAME Battambang <br> PROVINCE Battambang <br> BASIN Stung Sangker <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 305290 <br> Y_COORD 1448764 <br> ZERO_GH_M -1.73 <br> CAT_A_KM2 3,230",,,,,"-1","0","-1",,,103.204,13.099
Prek Chik,ID 551101 <br> NAME Prek Chik <br> PROVINCE Battambang <br> BASIN Stung Dauntri <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 09-Sep-08 <br> X_COORD 325541 <br> Y_COORD 1397365 <br> ZERO_GH_M - <br> CAT_A_KM2 835,,,,,"-1","0","-1",,,103.394,12.636
Prasat Keo,ID 560102 <br> NAME Prasat Keo <br> PROVINCE Siem Reap <br> BASIN Stung Siem Reap <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-99 <br> TO 31-Dec-17 <br> X_COORD 383044 <br> Y_COORD 1487896 <br> ZERO_GH_M - <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,103.920,13.457
Kampong Kdei,"ID 570101 <br> NAME Kampong Kdei <br> PROVINCE Siem Reap <br> BASIN Stung Chikreng <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-97 <br> TO 31-Dec-17 <br> X_COORD 428388 <br> Y_COORD 1451241 <br> ZERO_GH_M 5.16 <br> CAT_A_KM2 1,920",,,,,"-1","0","-1",,,104.339,13.127
Bak Trakoun,"ID 580103 <br> NAME Bak Trakoun <br> PROVINCE Pursat <br> BASIN Stung Pursat <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Oct-94 <br> TO 31-Dec-17 <br> X_COORD 364775 <br> Y_COORD 1366120 <br> ZERO_GH_M - <br> CAT_A_KM2 4,480",,,,,"-1","0","-1",,,103.756,12.355
Khum Viel,ID 580104 <br> NAME Khum Viel <br> PROVINCE Pursat <br> BASIN Stung Pursat <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-May-95 <br> TO 31-Dec-17 <br> X_COORD 384041 <br> Y_COORD 1388535 <br> ZERO_GH_M - <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,103.933,12.558
Peam,ID 580201 <br> NAME Peam <br> PROVINCE Pursat <br> BASIN Stung Pursat (Peam) <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-01 <br> TO 31-Dec-10 <br> X_COORD 360655 <br> Y_COORD 1357580 <br> ZERO_GH_M - <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,103.719,12.278
Prey Khlong,ID 580301 <br> NAME Prey Khlong <br> PROVINCE Pursat <br> BASIN Stung Pursat (Santre) <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-01 <br> TO 31-Dec-14 <br> X_COORD 365381 <br> Y_COORD 1364174 <br> ZERO_GH_M - <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,103.762,12.337
